cuda_line,cuda_source,sass_addr,sass_text,warp_stall_all,warp_stall_not_issued,sample_count,inst_executed,thread_inst_executed,thread_inst_pred_on,avg_threads,avg_threads_pred_on,divergent_branches,address_space,access_operation,access_size,l1_tag_global,l1_conflicts_nway,l2_sectors_excess,l2_sectors_global,l2_sectors_ideal,l2_evict_policies,l2_hit_evict_first,l2_hit_evict_last,l2_hit_evict_normal,l2_hit_evict_normal_demote,l2_miss_evict_first,l2_miss_evict_normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier_ni,stall_branch_resolving_ni,stall_dispatch_ni,stall_drain_ni,stall_imc_ni,stall_lg_ni,stall_long_sb_ni,stall_math_ni,stall_membar_ni,stall_mio_ni,stall_misc_ni,stall_no_inst_ni,stall_not_selected_ni,stall_selected_ni,stall_short_sb_ni,stall_sleeping_ni,stall_tex_ni,stall_wait_ni
13,sum += A[row * n + k] * B[k * n + col];,0x202155690,"FFMA R7, R8, R23, R7",714,362,714,262144,8388608,8388608,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,662,0,0,0,0,0,12,11,0,0,0,22,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,8
13,sum += A[row * n + k] * B[k * n + col];,0x202155520,"FFMA R25, R26, R25, R36",556,384,556,262144,8388608,8388608,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,548,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0
13,sum += A[row * n + k] * B[k * n + col];,0x2021554c0,"FFMA R36, R35, R36, R34",339,189,339,262144,8388608,8388608,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
13,sum += A[row * n + k] * B[k * n + col];,0x2021555f0,"FFMA R15, R15, R37, R32",286,175,286,262144,8388608,8388608,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,260,0,0,0,0,0,0,4,0,0,0,18,0,0,1,0,0,0,165,0,0,0,0,0,0,0,0,0,0,9
13,sum += A[row * n + k] * B[k * n + col];,0x202155660,"FFMA R15, R34, R27, R15",179,90,179,262144,8388608,8388608,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,145,0,0,0,0,0,2,5,0,0,0,24,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,7
13,sum += A[row * n + k] * B[k * n + col];,0x2021555a0,"LDG.E R5, [R10.64]",218,132,218,262144,8388608,8388608,32,32,0,0,0,32,262144,0,0,524288,524288,0,0,0,0,0,0,0,0,0,6,0,0,81,85,0,0,0,0,0,15,14,0,0,0,17,0,0,3,0,0,55,60,0,0,0,0,0,0,0,0,0,0,14
13,sum += A[row * n + k] * B[k * n + col];,0x2021554e0,"FFMA R36, R27, R28, R36",73,39,73,262144,8388608,8388608,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
13,sum += A[row * n + k] * B[k * n + col];,0x2021554b0,"LDG.E R17, [R2.64+0x38]",187,112,187,262144,8388608,8388608,32,32,0,0,0,32,524288,0,0,524288,524288,0,0,0,0,0,0,0,0,0,4,0,0,75,59,0,0,0,0,0,21,3,0,0,0,25,0,0,1,0,0,55,42,0,0,0,0,0,0,0,0,0,0,14
13,sum += A[row * n + k] * B[k * n + col];,0x202155650,"FFMA R15, R6, R35, R15",47,23,47,262144,8388608,8388608,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
13,sum += A[row * n + k] * B[k * n + col];,0x2021555b0,"LDG.E R24, [R2.64+0x3c]",152,99,152,262144,8388608,8388608,32,32,0,0,0,32,524288,0,0,524288,524288,0,0,0,0,0,0,0,0,0,11,0,0,60,40,0,0,0,0,0,19,6,0,0,0,16,0,0,7,0,0,47,31,0,0,0,0,0,0,0,0,0,0,14
